,,,,,,,,,"Додаток  2",,,,,,,,,,
,,,,,,,,,"до рішення обласної ради",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"від                                №             ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Видатки обласного бюджету на 2014 рік за тимчасовою класифікацією видатків та кредитування місцевих бюджетів",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"грн",,,,,,,
"Код тимчасової класифікації видатків та кредитування місцевих бюджетів","Найменування коду тимчасової класифікації видатків та кредитування місцевих бюджетів","Видатки загального фонду ",,,"Видатки спеціального фонду ",,,,,,,"Разом",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,"Усього","з них: ",,"Усього","Споживання","з них: ",,"Розвитку","з них",,,,,,,,,
,,,"оплата праці"," комунальні послуги та енергоносії",,,"оплата праці"," комунальні послуги та енергоносії",," бюджет  розвитку","з них ",,,,,,,,
,,,,,,,,,,,"капітальні видатки за рахунок коштів, що передаються із загального фонду до бюджету розвитку (спеціального фонду)",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"І",2,3,4,5,6,7,8,9,10,11,12,"13=3+6",,,,,,,
,,,,,,,,,,,,,,,,,,,
"010000","Державне управління","16,011,400.00","7,327,200.00","1,016,500.00","3,631,400.00","2,034,000.00",,"1,264,000.00","1,597,400.00","1,597,400.00","1,597,400.00","19,642,800.00",19642800,"19,642,800.0",1,,,,"ё"
,"з них на:",,,,,,,,,,,,,,,,,,
,"погашення кредиторської заборгованості за 2009 рік",,,,0.0,,,,,,,0.0,,0.0,,,,,
10100,"Функціонування законодавчої та виконавчої влади","16,011,400.0","7,327,200.0","1,016,500.0","3,631,400.0","2,034,000.0",0.0,"1,264,000.0","1,597,400.0","1,597,400.0","1,597,400.0","19,642,800.0",19642800,,,,,,
10105,"Апарат  Верховної     Ради Автономної          Республіки Крим",,,,0.0,,,,,,,0.0,0,0.0,,,,,
10114,"Апарат      Ради      міністрів Автономної          Республіки Крим та її місцевих органів",,,,0.0,,,,,,,0.0,0,0.0,,,,,
10115,"Місцеві державні адміністрації",,,,0.0,,,,,,,0.0,0,0.0,,,,,
"010116","Органи  місцевого самоврядування","16,011,400.00","7,327,200.00","1,016,500.00","3,631,400.00","2,034,000.00",,"1,264,000.00","1,597,400.00","1,597,400.00","1,597,400.00","19,642,800.00",19642800,"19,642,800.0",1,,,,
,"з них  на:",,,,0.0,,,,,,,0.0,,0.0,,,,,
,"заходи, пов""язані з міжнародною діяльністю",,,,0.0,,,,,,,0.0,0,0.0,,,,,
50000,"Національна оборона",,,,0.0,,,,,,,0.0,0,0.0,,,,,
60000,"Правоохоронна діяльність                       та забезпечення      безпеки держави",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,
60103,"Підрозділи            дорожньо-патрульної       служби       та дорожнього нагляду",0.0,0.0,0.0,0.0,,,,,,,0.0,0,0.0,,,,,
60106,"Приймальники-розподільники                  для неповнолітніх",0.0,0.0,0.0,0.0,,,,,,,0.0,0,0.0,,,,,
60107,"Спеціальні    приймальники-розподільники",0.0,0.0,0.0,0.0,,,,,,,0.0,0,0.0,,,,,
60702,"Професійно-пожежна охорона",,,,0.0,,,,,,,0.0,0,0.0,,,,,
61002,"Спеціалізовані     монтажно-експлуатаційні підрозділи",,,,0.0,,,,,,,0.0,0,0.0,,,,,
61003,"Адресно-довідкові бюро",,,,0.0,,,,,,,0.0,0,0.0,,,,,
61007,"Інші правоохоронні заходи і заклади",,,,0.0,,,,,,,0.0,0,0.0,,,,,
60000,"Правоохоронна діяльність та забезпечення безпеки держави",,,,0.0,0.0,,,0.0,,0.0,0.0,0,0.0,1,,,,
"070000","Освіта","789,851,584.00","302,146,600.00","49,812,900.00","49,989,200.00","33,354,200.00","4,894,600.00","1,349,000.00","16,635,000.00","14,580,000.00","14,580,000.00","839,840,784.00",839840784,"839,840,784.0",1,,,,
,"з них на:",,,,0.0,,,,,,,0.0,,,,,,,
,"видатки з енергозбереження",,,,0.0,,,,,,,0.0,,,,,,,
,"видатки на розвиток сільських населених пунктів",,,,0.0,,,,,,,0.0,,,,,,,
,"погашення кредиторської заборгованості за 2009 рік",,,,0.0,,,,,,,0.0,,,,,,,
,"заходи щодо посилення захисту багатодітних сімей",,,,0.0,,,,,,,0.0,,0.0,,,,,
70101,"Дошкільні заклади освіти",,,,0.0,,,,,,,0.0,,0.0,,,,,
70201,"Загальноосвітні школи ( в т.ч. школа-дитячий садок, інтернат при школі), спеціалізовані школи, ліцеї, гімназії, колегіуми",,,,0.0,,,,,,,0.0,,0.0,,,,,
70202,"Вечірні (змінні) школи",,,,0.0,,,,,,,0.0,,0.0,,,,,
"070301","Загальноосвітні школи-інтернати, загальноосвітні санаторні школи-інтернати","36,773,100.00","16,862,100.00","3,966,200.00","483,700.00","54,700.00",,"9,000.00","429,000.00","429,000.00","429,000.00","37,256,800.00",,"37,256,800.0",,,,,
